"","ietd","gi","volume","org_volume","volume_perc","q10","q90"
"34","2",5.3,158396.729012727,213934.912188477,25.9603178404191,23.9814722268362,29.0724298696136
"35","2",5.4,157485.077540306,213934.912188477,26.38645280974,24.3744174005146,29.5647795465492
"36","2",5.5,156591.669670822,213934.912188477,26.8040601372885,24.7627102369953,30.0204046867283
"37","2",5.6,155701.785665685,213934.912188477,27.2200202982709,25.1637410114265,30.5207740112285
"38","2",5.7,154844.571841127,213934.912188477,27.6207093750511,25.5453927408275,30.9202063475194
"39","2",5.8,153973.168202907,213934.912188477,28.0280312232273,25.9257396244757,31.3741910593266
"40","2",5.9,153107.987460917,213934.912188477,28.4324442912668,26.3450959290764,31.7619458898113
"41","2",6,152226.115583894,213934.912188477,28.8446593280751,26.7346314519057,32.1802820957124
"42","2",6.1,151372.96036021,213934.912188477,29.243451285384,27.124253922985,32.55752553766
"43","2",6.2,150511.634993594,213934.912188477,29.6460622280324,27.5069423821286,32.980280736662
"44","2",6.3,149685.888466816,213934.912188477,30.032042486388,27.8806971670582,33.3884872964286
"45","2",6.4,148834.145946993,213934.912188477,30.4301741008638,28.2691189216341,33.7816724527154
"46","2",6.5,148013.122575651,213934.912188477,30.813946605755,28.6514832441026,34.1625774443527
"47","2",6.6,147183.399282562,213934.912188477,31.2017857314972,29.0426675934109,34.5873835576261
"48","2",6.7,146324.19896075,213934.912188477,31.6034033604397,29.4021014537582,34.992927266426
"49","2",6.8,145511.406422642,213934.912188477,31.9833285114087,29.801766005221,35.3865829243471
"50","2",6.9,144695.368226582,213934.912188477,32.3647707864039,30.1629742909112,35.7710855175346
"51","2",7,143870.214294453,213934.912188477,32.7504740471238,30.5285723365104,36.1498915496698
"52","2",7.1,143080.948072167,213934.912188477,33.119402247861,30.8832959399571,36.5280879499202
"53","2",7.2,142274.227437553,213934.912188477,33.4964891975136,31.2408764673907,36.9306188471033
"54","2",7.3,141497.34585013,213934.912188477,33.8596284249898,31.583820398844,37.3039460457083
"55","2",7.4,140688.7169917,213934.912188477,34.2376073393045,31.9572670018843,37.6949270843282
"56","2",7.5,139871.992590513,213934.912188477,34.6193703684579,32.3036320253759,38.0769254189203
"57","2",7.6,139112.727881646,213934.912188477,34.9742749051229,32.6424882753255,38.4794223448995
"58","2",7.7,138321.368053055,213934.912188477,35.3441817242086,32.9796070263303,38.8677810157128
"59","2",7.8,137557.276606848,213934.912188477,35.7013424318233,33.3115296015517,39.2616532071041
"60","2",7.9,136798.348295363,213934.912188477,36.0560897256247,33.6473964165762,39.6455743955771
"61","2",8,136025.370039598,213934.912188477,36.4174044114131,33.9898109182347,39.9966358342682
"62","2",8.1,135267.808664014,213934.912188477,36.7715127557846,34.3138463201281,40.3740044432103
"63","2",8.2,134515.218577627,213934.912188477,37.1232973610594,34.6374425851236,40.7421653174177
"64","2",8.3,133770.625029228,213934.912188477,37.4713441294816,34.9447459487098,41.1135960311534
"65","2",8.4,133037.437910109,213934.912188477,37.8140591691257,35.27100293624,41.4865416921852
"66","2",8.5,132300.492864091,213934.912188477,38.1585307836365,35.5871290136427,41.8627295142886
"67","2",8.6,131547.362685893,213934.912188477,38.5105678450463,35.9110191276561,42.1985182213185
"68","2",8.7,130819.672142599,213934.912188477,38.8507136098729,36.205089959984,42.5504853153936
